erfüllt,Glatze,1
verspätet,ausbelben,0
getragen,erschrocken,1
neugierig,entleffen,0
verträumt,klatschen,1
treffen,Schranke,1
Zuhause,aufräumen,1
gelandet,Entscheidung,1
geduldig,verstehen,1
Störung,beseitigen,1
verwirrt,Hilfe,1
Reihe,necochen,0
verträumt,spetschen,0
verwirrt,Zolfe,0
freiwillig,Durchgang,1
frei ,lüssen,0
freudig,eindrucksvoll,1
langweilig,Belaggung,0
entspannt,austrezen,0
Geister,schlolzen,0
schwierig,behaupten,1
verwandeln,ontenifmieren,0
wichtig,Wary,0
entspannt,aufstehen,1
Nachricht,üknalieren,0
abgelenkt,verpollen,0
gemeinsam,antworten,1
